127.0.0.1, 2013-01-20 22:33:08, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:33:46, POST, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 22:34:04, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.254000
127.0.0.1, 2013-01-20 22:34:05, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:34:18, GET, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.081000
127.0.0.1, 2013-01-20 22:34:19, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:34:51, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 22:36:41, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2013-01-20 22:38:00, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 22:38:45, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-20 22:39:20, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 22:41:26, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.063000
127.0.0.1, 2013-01-20 22:48:57, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2013-01-20 22:49:58, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2013-01-20 22:54:08, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.290000
127.0.0.1, 2013-01-20 22:54:09, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 22:54:20, GET, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.083000
127.0.0.1, 2013-01-20 22:54:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 22:56:19, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 22:58:52, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.052000
127.0.0.1, 2013-01-20 23:05:14, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 23:08:56, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 23:11:20, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 23:11:24, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2013-01-20 23:12:01, GET, /welcome/webrtc/index, HTTP/1.1, 500, 0.248000
127.0.0.1, 2013-01-20 23:12:01, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 23:12:03, GET, /admin/default/ticket/welcome/127.0.0.1.2013-01-20.23-12-01.49a90b64-cf9b-4890-925a-a93e044973a2, HTTP/1.1, 200, 0.149000
127.0.0.1, 2013-01-20 23:12:04, GET, /admin/static/images/ticket_section.png, HTTP/1.1, 200, 0.055000
127.0.0.1, 2013-01-20 23:12:04, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 23:13:04, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2013-01-20 23:13:25, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.066000
127.0.0.1, 2013-01-20 23:13:46, GET, /welcome/webrtc/index, HTTP/1.1, 500, 0.113000
127.0.0.1, 2013-01-20 23:13:48, GET, /admin/default/ticket/welcome/127.0.0.1.2013-01-20.23-13-46.61769834-3582-44b8-a4cf-532bea991058, HTTP/1.1, 200, 0.160000
127.0.0.1, 2013-01-20 23:13:49, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 23:14:26, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.055000
127.0.0.1, 2013-01-20 23:14:30, GET, /welcome/webrtc/index, HTTP/1.1, 500, 0.098000
127.0.0.1, 2013-01-20 23:14:32, GET, /admin/default/ticket/welcome/127.0.0.1.2013-01-20.23-14-30.bcb99cd2-b475-47ea-ba5d-f525bfa44e46, HTTP/1.1, 200, 0.128000
127.0.0.1, 2013-01-20 23:14:32, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 23:14:46, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.050000
127.0.0.1, 2013-01-20 23:14:49, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.051000
127.0.0.1, 2013-01-20 23:14:49, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-20 23:15:33, GET, /admin/default/design/welcome, HTTP/1.1, 200, 0.295000
127.0.0.1, 2013-01-20 23:15:34, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2013-01-20 23:15:45, GET, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.089000
127.0.0.1, 2013-01-20 23:15:45, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2013-01-20 23:16:29, POST, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.053000
127.0.0.1, 2013-01-20 23:16:33, POST, /admin/default/edit/welcome/views/webrtc/index.html, HTTP/1.1, 200, 0.053000
127.0.0.1, 2013-01-20 23:16:39, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.077000
127.0.0.1, 2013-01-20 23:16:39, GET, /welcome/static/js/rtc.js, HTTP/1.1, 304, 0.001000
127.0.0.1, 2013-01-20 23:16:57, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.064000
127.0.0.1, 2013-01-20 23:17:00, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.059000
127.0.0.1, 2013-01-20 23:17:00, GET, /welcome/static/js/rtc.js, HTTP/1.1, 200, 0.000000
127.0.0.1, 2013-01-20 23:17:40, POST, /admin/default/edit/welcome/controllers/webrtc.py, HTTP/1.1, 200, 0.065000
127.0.0.1, 2013-01-20 23:17:51, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.068000
127.0.0.1, 2013-01-20 23:18:19, POST, /admin/default/edit/welcome/static/js/rtc.js, HTTP/1.1, 200, 0.061000
127.0.0.1, 2013-01-20 23:18:22, GET, /welcome/webrtc/index, HTTP/1.1, 200, 0.057000
